Страна,Отрасль,Компания,Год,document_id,Principle_code,Principle_text,Presence,Evidence (Text),Date of analysis,Analysis model
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,HOT07,Обезличивание данных при обнародовании решения этической комиссии в ситуации продолжения работы нарушителя в компании,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,HOT08,Неиспользование полученной информации в ходе расследования в личных целях,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,HOT09,Право участника на предоставление максимально полной информации по делу до начала рассмотрения на этической комиссии,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,HOT10,Необходимость повторного рассмотрения дела при вновь открывшихся обстоятельствах.,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,WtoC01,Поддержание высокого уровня качества выполняемой работы,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,WtoC02,Сохранность и эффективное использование активов компании,brief_mention,... effectively implement the code of conduct to increase shareholder value ...,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,WtoC03,Конфиденциальность и информационная безопасность (против утечек),explicit_section,... maintain security and confidentiality while restricting unauthorized access to company data and information.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,WtoC04,Защита интеллектуальной собственности компани (против использования в личных целях),absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,WtoC05,"Знание и соблюдение законов, которые можно нарушить на рабочем месте",explicit_section,... adhere to prevailing laws and regulations.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,WtoC06,Соблюдение субординации при принятии решений на рабочем месте,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,WtoC07,Гибкость в условиях требующих адаптации и нестандартных решений,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,WtoC08,Нацеленность на достижение результата,brief_mention,... implement ... Good Corporate Governance ... to enhance the Company's performance.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,WtoC09,Поддержание высокого профессионального уровня,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,Astra Agro Lestari,2023,agriculture_indonesia_astra_agro_lestari_2023,WtoC10,Сохранение и защита деловой репутации компании,brief_mention,... strive to provide optimal performance and maintain a good image to increase value for shareholders.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,COMP01,Не пытаться узнать конфиденциальную информацию конкурента,explicit_section,You may not obtain non-public information by illegal or unethical activities.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,COMP02,Не переманивать ключевых работников конкурента с целью ослабить его позиции,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,COMP03,"Не вступать в сговор с конкурентами о ценах, объемах или разделе рынка",explicit_section,... avoid any discussions with competitors that could be viewed as an agreement to restrain trade ...,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,COMP04,Сотрудничать с конкурентами с целью повышения эффективности рынка,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,COMP05,Поддерживать уважение к конкурентам и подчеркивать важность деятельности,brief_mention,The Company is subject to competition laws ... We must always compete with integrity ...,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,COMP06,Не пытаться ослабить конкурентов путем ограничения их доступа к каким-либо ресурсам,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,COMP07,Соблюдать права интеллектуальные собственности конкурентов,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,COMP08,Не распространять ложную и порочащую информацию о конкурентах,explicit_section,... never disparage or discredit our competitors or their products or services.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,COMP09,Предостерегать конкурентов от нарушения данных принципов с их стороны.,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,COMP10,Сообщать регулятору о замеченных неэтичных действиях конкурентов.,brief_mention,If you are offered confidential or proprietary information ... you must immediately inform the Legal Department.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,CtoI01,Равные права всех акционеров и кредиторов на доступ к информации,explicit_section,The Company ensures that the Company’s shareholders are treated equitably and their rights are protected.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,CtoI02,"Организация собраний акционеров, максимально облегчающая доступ каждого акционера к участию в собрании",absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,CtoI03,Максимально полное и своевременное раскрытие всей существенной информации для акционеров и кредиторов,explicit_section,"... committed to providing shareholders with adequate, timely and sufficient information ...",04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,CtoI04,Прозрачное проведение собраний и принятие решений компанией,explicit_section,"... committed to observing high standards of corporate governance, to promote corporate transparency ...",04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,CtoI05,Предотвращение инсайдерской торговли,explicit_section,The laws of many countries and our own internal policies prohibit insider trading.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,CtoI06,Обоснованная дивидендная политика,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,CtoI07,Защита прав миноритарных акционеров,explicit_section,... shareholders are treated equitably and their rights are protected.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,CtoI08,Справедливое отношение к кредиторам компании при погашении долга,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,CtoS01,Выбор поставщиков по критерию эффективности,explicit_section,"We choose our suppliers based on legitimate, business-related criteria ... quality ... cost, reliability and experience.",04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,CtoS02,Равный доступ всех поставщиков к информации и в участию в тендерах,implicit_scattered,We are committed to dealing fairly with all our suppliers.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,CtoS03,Отказ от злоупотребления рыночной властью по отношению к поставщикам,explicit_section,... never take unfair advantage of our suppliers through manipulation of our position or relationship ...,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,CtoS04,Преимущества или квоты для социально ориентированных поставщиков и малого бизнеса при проведении тендеров,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,CtoS05,"Своевременное информирование поставщиков о всех изменениях на стороне заказчика, которые влияют на исполнение текущих договоров и участие в будущих тендерах",absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,CtoS06,Ориентация на долгосрочное устойчивое партнерство с поставщиками,brief_mention,"... customers, suppliers and other business partners may share confidential information ...",04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,CtoS07,"Отказ от манипулирования условиями тендера (технические задания, сроки, требования к поставщикам и т. п.) с целью создания преимуществ для поставщиков, которые не являются объективно более эффективными",explicit_section,... never take unfair advantage ... through ... misrepresentation of material facts or any other unfair dealing practice.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,HOT01,Равный доступ всех работников к горячей линии и равные права на справедливое рассмотрение заявления,explicit_section,"... employees may, in confidence and without fear of retaliation, bring ... concerns ...",04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,HOT02,Сохранение конфиденциальности собранных материалов в ходе расследования,explicit_section,The Company will keep details of investigations confidential to the maximum extent possible ...,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,HOT03,Запрет преследования заявителей,explicit_section,The Company will not tolerate any form of retaliation against you for making a good faith report ...,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,HOT04,Гарантия анонимности заявителя и свидетелей,explicit_section,"Your concerns may be reported anonymously, if you wish ...",04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,HOT05,"Принцип нулевой терпимости (обязательное реагирование, расследование и принятие мер по любому нарушению)",explicit_section,The Company will promptly respond to all reports of misconduct.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,HOT06,Обязанность сообщить на горячую линии о замеченном нарушении,explicit_section,It is up to each of us to protect our reputation by reporting issues immediately.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,HOT07,Обезличивание данных при обнародовании решения этической комиссии в ситуации продолжения работы нарушителя в компании,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,HOT08,Неиспользование полученной информации в ходе расследования в личных целях,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,HOT09,Право участника на предоставление максимально полной информации по делу до начала рассмотрения на этической комиссии,brief_mention,... provide complete and accurate information related to investigations.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,HOT10,Необходимость повторного рассмотрения дела при вновь открывшихся обстоятельствах.,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,WtoC01,Поддержание высокого уровня качества выполняемой работы,brief_mention,... no conflict between excellent business performance and high standard of integrity.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,WtoC02,Сохранность и эффективное использование активов компании,explicit_section,All employees should protect the Company assets and ensure their efficient use.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,WtoC03,Конфиденциальность и информационная безопасность (против утечек),explicit_section,... such as confidential and proprietary information ... You should ... protect them from unauthorized use.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,WtoC04,Защита интеллектуальной собственности компани (против использования в личных целях),explicit_section,"The Company assets also include intangible assets, such as ... intellectual property ...",04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,WtoC05,"Знание и соблюдение законов, которые можно нарушить на рабочем месте",explicit_section,We are each responsible for following all of the laws that apply to our businesses.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,WtoC06,Соблюдение субординации при принятии решений на рабочем месте,absent,,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,WtoC07,Гибкость в условиях требующих адаптации и нестандартных решений,brief_mention,INNOVATION We come up with ideas or create new products/tools/systems ...,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,WtoC08,Нацеленность на достижение результата,brief_mention,PERFORMANCE We deliver outstanding results.,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,WtoC09,Поддержание высокого профессионального уровня,brief_mention,CONTINUOUS IMPROVEMENT We continuously enhance the capability of self ...,04.04.2026,GPT 5.3-Codex
Indonesia,Agriculture,SMART (Golden Agri-Resources),2021,agriculture_indonesia_smart_2021,WtoC10,Сохранение и защита деловой репутации компании,explicit_section,... it takes only one lapse and one person to blemish our reputation.,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,COMP01,Не пытаться узнать конфиденциальную информацию конкурента,brief_mention,... the unfair use of trade secrets or brands of other companies ...,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,COMP02,Не переманивать ключевых работников конкурента с целью ослабить его позиции,absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,COMP03,"Не вступать в сговор с конкурентами о ценах, объемах или разделе рынка",explicit_section,"We should strictly abide by the applicable anti-monopoly laws and regulations, conduct healthy competition within the legal framework, and consciously avoid monopoly behavior.",04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,COMP04,Сотрудничать с конкурентами с целью повышения эффективности рынка,absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,COMP05,Поддерживать уважение к конкурентам и подчеркивать важность деятельности,brief_mention,... conduct healthy competition within the legal framework ...,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,COMP06,Не пытаться ослабить конкурентов путем ограничения их доступа к каким-либо ресурсам,absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,COMP07,Соблюдать права интеллектуальные собственности конкурентов,explicit_section,... respect and avoid infringing the intellectual property of others.,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,COMP08,Не распространять ложную и порочащую информацию о конкурентах,explicit_section,The Company prohibits unfair competition practices ... damage to the business reputation of competitors ...,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,COMP09,Предостерегать конкурентов от нарушения данных принципов с их стороны.,absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,COMP10,Сообщать регулятору о замеченных неэтичных действиях конкурентов.,absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,CtoI01,Равные права всех акционеров и кредиторов на доступ к информации,implicit_scattered,"... once it finds information that meets the standards and scope of information disclosure, it shall promptly perform its reporting obligations ...",04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,CtoI02,"Организация собраний акционеров, максимально облегчающая доступ каждого акционера к участию в собрании",absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,CtoI03,Максимально полное и своевременное раскрытие всей существенной информации для акционеров и кредиторов,explicit_section,Being the list company ... it shall promptly perform its reporting obligations and responsibilities.,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,CtoI04,Прозрачное проведение собраний и принятие решений компанией,brief_mention,"... improves the corporate governance structure that each performs its duties and responsibilities, operates by cooperation and checks and balances effectively.",04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,CtoI05,Предотвращение инсайдерской торговли,explicit_section,... it is strictly forbidden to use inside information to engage in illegal transactions and obtain illegal benefits.,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,CtoI06,Обоснованная дивидендная политика,absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,CtoI07,Защита прав миноритарных акционеров,absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,CtoI08,Справедливое отношение к кредиторам компании при погашении долга,absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,CtoS01,Выбор поставщиков по критерию эффективности,explicit_section,"Strictly examine the qualification and credit of suppliers, service providers, contractors, customers and other partners ...",04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,CtoS02,Равный доступ всех поставщиков к информации и в участию в тендерах,absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,CtoS03,Отказ от злоупотребления рыночной властью по отношению к поставщикам,absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,CtoS04,Преимущества или квоты для социально ориентированных поставщиков и малого бизнеса при проведении тендеров,absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,CtoS05,"Своевременное информирование поставщиков о всех изменениях на стороне заказчика, которые влияют на исполнение текущих договоров и участие в будущих тендерах",absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,CtoS06,Ориентация на долгосрочное устойчивое партнерство с поставщиками,explicit_section,"The company adheres to the principle of equality, mutual benefit and win-win cooperation ...",04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,CtoS07,"Отказ от манипулирования условиями тендера (технические задания, сроки, требования к поставщикам и т. п.) с целью создания преимуществ для поставщиков, которые не являются объективно более эффективными",absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,HOT01,Равный доступ всех работников к горячей линии и равные права на справедливое рассмотрение заявления,absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,HOT02,Сохранение конфиденциальности собранных материалов в ходе расследования,absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,HOT03,Запрет преследования заявителей,absent,,04.04.2026,GPT 5.3-Codex
China,Automotive,Great Wall Motor,2024,automotive_china_great_wall_motor_2024,HOT04,Гарантия анонимности заявителя и свидетелей,absent,,04.04.2026,GPT 5.3-Codex
